address,sqr,price,type,dir,renttype
白玉兰家园,110.50,13500.0,2室2厅,南,整租
上海滩新昌城,60.54,11800.0,1室1厅,南,整租
西凌新邨,40.79,6500.0,1室1厅,南,整租
南园小区,50.76,7800.0,1室1厅,南,整租
西凌新邨,39.69,8300.0,1室1厅,南,整租
瞿溪路830弄,34.02,6500.0,1室0厅,南,整租
巴士小区,31.67,7500.0,1室1厅,南,整租
海南西弄,53.45,7900.0,2室1厅,南/北,整租
翠湖天地嘉苑,91.51,26000.0,1室2厅,南,整租
士林华苑,90.12,13500.0,1室2厅,南,整租
步高苑,138.38,24000.0,3室2厅,南,整租
上海滩新昌城,91.49,16000.0,2室1厅,南,整租
中福浦江汇,54.70,9500.0,1室2厅,南,整租
瞿溪新村,29.50,6000.0,1室0厅,南,整租
北蒙三小区,45.80,7300.0,1室1厅,南,整租
复兴南苑,129.42,18900.0,2室2厅,南,整租
和合坊,7.20,2800.0,1室1厅,南,整租
金外滩花园,136.37,24800.0,2室2厅,南,整租
蒙西小区,30.60,4980.0,1室0厅,北,整租
绿地海珀黄浦,138.38,36000.0,3室2厅,南,整租
打浦路303弄,27.97,5500.0,1室0厅,南,整租
中福花苑,42.46,7200.0,1室2厅,北,整租
日月光中心伯爵居,73.00,12500.0,1室2厅,西/西北,整租
斜土路262弄,32.51,6700.0,1室0厅,南,整租
铁道路776弄,63.73,9800.0,3室1厅,南,整租
中福浦江汇,54.70,9500.0,1室2厅,南,整租
上海滩新昌城,91.49,16000.0,2室1厅,南,整租
老西门新苑,84.33,14000.0,1室2厅,东/南/北,整租
瞿溪新村,29.50,6000.0,1室0厅,南,整租
黄浦逸城,63.14,11000.0,1室1厅,南,整租
士林华苑,134.76,17500.0,2室2厅,南/北,整租
和合坊,7.20,2800.0,1室1厅,南,整租
蒙西小区,50.95,7800.0,1室1厅,西,整租
金外滩花园,136.37,24800.0,2室2厅,南,整租
德昌公寓,122.68,14300.0,2室2厅,南,整租
蒙西小区,30.60,4980.0,1室0厅,北,整租
瞿四小区,36.00,5500.0,1室1厅,南,整租
北京东路335-355号,37.14,7500.0,1室1厅,南,整租
国货路374-378号,29.75,5500.0,1室0厅,东,整租
中福城,133.13,20000.0,2室2厅,南,整租
市民新村,45.27,7500.0,2室1厅,南/北,整租
永明大厦,138.46,16500.0,3室2厅,南,整租
