address,info,price,rtype,sqr,dir,dec,heights,built,btype,price_per_sqr
永业公寓 ,3室2厅 | 137.51平米 | 南 | 精装 | 低楼层(共33层) | 2008年建 | 板楼,26600000.0,3室2厅 , 137.51平米 , 南 , 精装 , 低楼层(共33层) , 2008年建 , 板楼,193441
上海滩新昌城 ,3室2厅 | 158.01平米 | 南 北 | 精装 | 高楼层(共28层) | 2006年建 | 板楼,22980000.0,3室2厅 , 158.01平米 , 南 北 , 精装 , 高楼层(共28层) , 2006年建 , 板楼,145434
巴黎公寓 ,3室2厅 | 69.08平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,11000000.0,3室2厅 , 69.08平米 , 南 北 , 精装 , 低楼层(共3层)  , 板楼,,159236
淡水湾花园 ,3室2厅 | 153.42平米 | 南 | 精装 | 29层 | 2007年建 | 板楼,29000000.0,3室2厅 , 153.42平米 , 南 , 精装 , 29层 , 2007年建 , 板楼,189024
华润外滩九里 ,4室2厅 | 319.41平米 | 南 北 | 精装 | 24层 | 2011年建 | 板楼,63640000.0,4室2厅 , 319.41平米 , 南 北 , 精装 , 24层 , 2011年建 , 板楼,199243
双钱公寓 ,3室2厅 | 152.26平米 | 东 南 北 | 精装 | 中楼层(共30层) | 1998年建 | 塔楼,13500000.0,3室2厅 , 152.26平米 , 东 南 北 , 精装 , 中楼层(共30层) , 1998年建 , 塔楼,88665
永业公寓 ,3室2厅 | 144.77平米 | 南 北 | 精装 | 低楼层(共35层) | 2003年建 | 板楼,18800000.0,3室2厅 , 144.77平米 , 南 北 , 精装 , 低楼层(共35层) , 2003年建 , 板楼,129862
中海建国里 ,4室2厅 | 162.81平米 | 南 北 | 精装 | 高楼层(共36层)  | 板楼,42500000.0,4室2厅 , 162.81平米 , 南 北 , 精装 , 高楼层(共36层)  , 板楼,,261041
露香园 ,4室2厅 | 243.77平米 | 南 | 精装 | 中楼层(共36层) | 2014年建 | 板楼,57370000.0,4室2厅 , 243.77平米 , 南 , 精装 , 中楼层(共36层) , 2014年建 , 板楼,235345
锦麟天地雅苑 ,4室2厅 | 362.52平米 | 东南 | 精装 | 低楼层(共29层) | 2005年建 | 板楼,65000000.0,4室2厅 , 362.52平米 , 东南 , 精装 , 低楼层(共29层) , 2005年建 , 板楼,179301
黄浦新苑西区 ,4室2厅 | 169.2平米 | 南 北 | 精装 | 中楼层(共11层) | 2001年建 | 板楼,18500000.0,4室2厅 , 169.2平米 , 南 北 , 精装 , 中楼层(共11层) , 2001年建 , 板楼,109339
淮海晶华苑 ,4室2厅 | 222平米 | 南 | 精装 | 中楼层(共31层) | 2006年建 | 板楼,40310000.0,4室2厅 , 222平米 , 南 , 精装 , 中楼层(共31层) , 2006年建 , 板楼,181577
绿洲仕格维花园 ,3室2厅 | 204.04平米 | 南 北 | 精装 | 中楼层(共21层) | 2005年建 | 板楼,28600000.0,3室2厅 , 204.04平米 , 南 北 , 精装 , 中楼层(共21层) , 2005年建 , 板楼,140169
大同花园南区 ,4室2厅 | 240.57平米 | 南 北 | 精装 | 下叠(共3层) | 2007年建 | 板楼 | 叠拼别墅 ,30000000.0,4室2厅 , 240.57平米 , 南 北 , 精装 , 下叠(共3层) , 2007年建 , 板楼 ,124704
复兴珑御二期 ,4室2厅 | 196.82平米 | 南 北 | 精装 | 26层 | 2020年建 | 板楼,49000000.0,4室2厅 , 196.82平米 , 南 北 , 精装 , 26层 , 2020年建 , 板楼,248959
华府天地睿园 ,2室2厅 | 88.62平米 | 南 | 精装 | 低楼层(共17层) | 2016年建 | 板楼,17580000.0,2室2厅 , 88.62平米 , 南 , 精装 , 低楼层(共17层) , 2016年建 , 板楼,198376
新华南园大厦 ,2室1厅 | 68.2平米 | 南 北 | 精装 | 低楼层(共28层) | 2004年建 | 塔楼,6680000.0,2室1厅 , 68.2平米 , 南 北 , 精装 , 低楼层(共28层) , 2004年建 , 塔楼,97948
林荫大楼 ,3室1厅 | 82.48平米 | 南 北 | 精装 | 高楼层(共16层) | 1990年建 | 塔楼,8500000.0,3室1厅 , 82.48平米 , 南 北 , 精装 , 高楼层(共16层) , 1990年建 , 塔楼,103056
恒升大厦 ,2室1厅 | 70.12平米 | 北 | 精装 | 中楼层(共26层) | 1999年建 | 塔楼,6880000.0,2室1厅 , 70.12平米 , 北 , 精装 , 中楼层(共26层) , 1999年建 , 塔楼,98118
五岭小区 ,2室1厅 | 48.6平米 | 南 | 精装 | 中楼层(共7层) | 1988年建 | 板楼,5250000.0,2室1厅 , 48.6平米 , 南 , 精装 , 中楼层(共7层) , 1988年建 , 板楼,108025
南塘浜路113-121号 ,2室1厅 | 52.09平米 | 南 北 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,5580000.0,2室1厅 , 52.09平米 , 南 北 , 精装 , 中楼层(共6层) , 1985年建 , 板楼,107123
海悦花园 ,2室1厅 | 109.49平米 | 南 | 精装 | 低楼层(共39层) | 2005年建 | 板楼,14800000.0,2室1厅 , 109.49平米 , 南 , 精装 , 低楼层(共39层) , 2005年建 , 板楼,135173
永嘉路39弄 ,1室1厅 | 44.46平米 | 南 | 简装 | 中楼层(共5层) | 1976年建 | 板楼,6500000.0,1室1厅 , 44.46平米 , 南 , 简装 , 中楼层(共5层) , 1976年建 , 板楼,146199
卢湾城市花园 ,2室2厅 | 100.7平米 | 南 北 | 精装 | 中楼层(共28层) | 2002年建 | 板楼,14200000.0,2室2厅 , 100.7平米 , 南 北 , 精装 , 中楼层(共28层) , 2002年建 , 板楼,141013
西凌新邨 ,2室1厅 | 85.55平米 | 东南 南 | 简装 | 高楼层(共32层) | 1995年建 | 塔楼,8400000.0,2室1厅 , 85.55平米 , 东南 南 , 简装 , 高楼层(共32层) , 1995年建 , 塔楼,98189
西凌新邨 ,1室0厅 | 34.42平米 | 南 | 其他 | 高楼层(共6层) | 1987年建 | 板楼,3600000.0,1室0厅 , 34.42平米 , 南 , 其他 , 高楼层(共6层) , 1987年建 , 板楼,104591
